id,name,price,image,category,quantity,source,productUrl
2580,Sunfeast Mom's Magic Cashew & Almond Cookies,₹27,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982584/blinkit_store/byjp9sffhbrjfrvzjg7x.webp,milk,200 g,Blinkit,https://blinkit.com/
2581,Amul Gold Full Cream Milk,₹72,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982585/blinkit_store/bndu7ysrlyh61c355dkn.webp,milk,1 ltr,Blinkit,https://blinkit.com/
2582,Amul Taaza Toned Milk,₹30,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982587/blinkit_store/u0aeqjljs5qqlhyn3lrh.webp,milk,500 ml,Blinkit,https://blinkit.com/
2583,Mother Dairy Toned Milk,₹29,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982589/blinkit_store/ejyylsxwlwqxamiulfmw.webp,milk,500 ml,Blinkit,https://blinkit.com/
2584,Mother Dairy Toned Toned Milk,₹60,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982590/blinkit_store/acjkksndrefpjwz7mahl.webp,milk,1 ltr,Blinkit,https://blinkit.com/
2585,Mother Dairy Cow Milk,₹62,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982592/blinkit_store/rhazvzsatom4rgbcueap.webp,milk,1 ltr,Blinkit,https://blinkit.com/
2586,Amul Cow Milk,₹31,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982593/blinkit_store/q7sik9glclx8n8vbo0rs.webp,milk,500 ml,Blinkit,https://blinkit.com/
2587,Mother Dairy Full Cream Milk,₹72,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982595/blinkit_store/h0uyrxdku3td1xvfjagt.webp,milk,1 ltr,Blinkit,https://blinkit.com/
2588,Amul Taaza Homogenised Toned Milk,₹77,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982596/blinkit_store/b9an8ulsuapg50vs9jjx.webp,milk,1 ltr,Blinkit,https://blinkit.com/
2589,Amul Buffalo A2 Milk,₹40,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982598/blinkit_store/sdbmrd1qshkmkubbpfnm.webp,milk,500 ml,Blinkit,https://blinkit.com/
